booking_id,customer_id,booking_type,service_id,booking_date,amount,status
BK001,C001,Hotel,H001,2026-09-01,10000,CONFIRMED
BK002,C002,Flight,F001,2026-09-01,6500,CONFIRMED
BK003,C003,Bus,B002,2026-09-01,1200,CONFIRMED
BK004,C004,Hotel,H002,2026-09-02,15000,CONFIRMED
BK005,C005,Flight,F002,2026-09-02,7200,CANCELLED
BK006,C006,Bus,B001,2026-09-02,1000,CONFIRMED
BK007,C007,Hotel,H003,2026-09-03,9000,CONFIRMED
BK008,C008,Flight,F003,2026-09-03,5800,CONFIRMED
BK009,C009,Bus,B003,2026-09-03,1500,CANCELLED
BK010,C010,Hotel,H004,2026-09-04,13000,CONFIRMED
BK011,C001,Flight,F004,2026-09-04,8000,CONFIRMED
BK012,C002,Bus,B004,2026-09-04,900,CONFIRMED
BK013,C003,Hotel,H005,2026-09-05,7000,CONFIRMED
BK014,C004,Flight,F005,2026-09-05,6200,CONFIRMED
BK015,C005,Bus,B005,2026-09-05,1100,CANCELLED
