payment_id,booking_id,payment_date,payment_method,payment_amount,payment_status
P001,BK001,2026-09-01,UPI,10000,SUCCESS
P002,BK002,2026-09-01,CARD,6500,SUCCESS
P003,BK003,2026-09-01,UPI,1200,SUCCESS
P004,BK004,2026-09-02,CARD,15000,SUCCESS
P005,BK005,2026-09-02,UPI,7200,REFUNDED
P006,BK006,2026-09-02,CARD,1000,SUCCESS
P007,BK007,2026-09-03,UPI,9000,SUCCESS
P008,BK008,2026-09-03,CARD,5800,SUCCESS
P009,BK009,2026-09-03,UPI,1500,REFUNDED
P010,BK010,2026-09-04,CARD,13000,SUCCESS
P011,BK011,2026-09-04,UPI,8000,SUCCESS
P012,BK012,2026-09-04,CARD,900,SUCCESS
P013,BK013,2026-09-05,UPI,7000,SUCCESS
P014,BK014,2026-09-05,CARD,6200,SUCCESS
P015,BK015,2026-09-05,UPI,1100,REFUNDED
